Entertainer,Gender (traditional),Birth Year,Age,Year of Breakthrough/#1 Hit/Award Nomination,Breakthrough Name,Decade of Breakthrough,Year of First Oscar/Grammy/Emmy,Year of Last Major Work (arguable),Decade of Last Major Work
Adele,F,1988,36,2008,19,2000,2009,2016,2010
Angelina Jolie,F,1975,49,1999,"Girl, Interrupted",1990,1999,2016,2010
Aretha Franklin,F,1942,82,1967,I Never Loved a Man (The Way I Love You),1960,1968,2014,2010
Bette Davis,F,1908,116,1934,Of Human Bondage,1930,1935,1989,1980
Betty White,F,1922,102,1952,Life with Elilzabeth,1950,1976,2016,2010
Bing Crosby,M,1903,121,1931,Several Songs,1930,1962,1974,1970
Bob Hope,M,1903,121,1938,The Big Broadcast of 1938,1930,1940,1972,1970
Carol Burnett,F,1933,91,1959,The Garry Moore Show,1950,1962,2016,2010
Carole Lombard,F,1908,116,1934,Twentieth Century,1930,0,1942,1940
Carrie Fisher,F,1956,68,1977,Star Wars,1970,0,2016,2010
Cary Grant,M,1904,120,1933,"She Done Him Wrong, I'm No Angel",1930,1970,1966,1960
Charlie Chaplin,M,1889,135,1915,The Tramp,1910,1929,1967,1960
Clara Bow,F,1905,119,1926,Mantrap,1920,0,1933,1930
Clark Gable,M,1901,123,1934,It Happened One Night,1930,1934,1960,1960
David Letterman,M,1947,77,1982,Late Night with David Letterman,1980,1981,2015,2010
Debbie Reynolds,F,1932,92,1952,Singin' in the Rain,1950,0,2006,2000
Denzel Washington,M,1954,70,1989,Glory,1980,1989,2016,2010
Dick Van Dyke,M,1925,99,1961,"Bye Bye Birdie, The Dick Van Dyke Show",1960,1964,2015,2010
Donald Sutherland,M,1935,89,1967,The Dirty Dozen,1960,1995,2016,2010
Dustin Hoffman,M,1937,87,1967,The Graduate,1960,1980,2016,2010
Ed Sullivan,M,1901,123,1948,Toast of the Town,1940,1956,1973,1970
Eddie Murphy,M,1961,63,1980,Saturday Night Live,1980,2001,2016,2010
Elton John,M,1947,77,1972,Honky Chateau,1970,1987,2016,2010
Elvis Presley,M,1935,89,1956,Heartbreak Hotel,1950,1959,1977,1970
Frank Sinatra,M,1915,109,1940,I'll Never Smile Again,1940,1946,1980,1980
Gene Hackman,M,1930,94,1967,Bonnie and Clyde,1960,1971,2004,2000
George Michael,M,1963,61,1984,Wake Me Up Before You Go-Go,1980,1988,2004,2000
Gregory Peck,M,1916,108,1944,The Keys of the Kingdom,1940,1962,1991,1990
Greta Garbo,F,1905,119,1930,Anna Christie,1930,1954,1941,1940
Humphrey Bogart,M,1899,125,1936,The Petrified Forest,1930,1951,1956,1950
James Dean,M,1931,93,1953,East of Eden,1950,1955,1955,1950
Jay Leno,M,1950,74,1992,The Tonight Show,1990,1995,2014,2010
Jennifer Aniston,F,1969,55,1994,Friends,1990,2002,2016,2010
Jerry Seinfeld,M,1954,70,1988,Seinfeld,1980,1992,2016,2010
Jimmy Page,M,1944,80,1969,Led Zeppelin 2,1960,1999,2016,2010
Jimmy Stewart,M,1908,116,1938,You Can't Take it With You,1930,1941,1980,1980
Joan Crawford,F,1904,120,1928,Our Dancing Daughters,1920,1946,1970,1970
John Lennon,M,1940,84,1963,I Want to Hold Your Hand,1960,1965,1980,1980
John Wayne,M,1907,117,1939,Stagecoach,1930,1970,1976,1970
Johnny Carson,M,1925,99,1962,The Tonight Show Starring Johnny Carson,1960,1976,1992,1990
Johnny Depp,M,1963,61,1987,21 Jump Street,1980,0,2016,2010
Justin Timberlake,M,1981,43,2000,No Strings Attached,2000,2004,2016,2010
Katherine Hepburn,F,1907,117,1933,Morning Glory,1930,1933,1994,1990
Keifer Sutherland,M,1966,58,2001,24,2000,2006,2016,2010
Kirk Douglas,M,1916,108,1949,Champion,1940,1996,2004,2000
Lady Gaga,F,1986,38,2008,The Fame,2000,2010,2016,2010
Leonard Bernstein,M,1918,106,1957,West Side Story,1950,1962,1989,1980
Leonardo DiCaprio,M,1974,50,1997,Titanic,1990,2016,2016,2010
Louis Armstrong,M,1901,123,1964,"Hello, Dolly!",1960,1993,1970,1970
Madonna,F,1958,66,1984,Like A Virgin,1980,1992,2015,2010
Mariah Carey,F,1969,55,1990,Mariah Carey,1990,1991,2014,2010
Marlon Brando,M,1924,100,1951,Streetcar Named Desire,1950,1953,2001,2000
Mary Tyler Moore,F,1936,88,1961,The Dick Van Dyke Show,1960,1964,2013,2010
Meryl Streep,F,1949,75,1978,The Deer Hunter,1970,1980,2016,2010
Mick Jagger,M,1943,81,1965,(I Can't Get No) Satisfaction,1960,1987,2016,2010
Morgan Freeman,M,1937,87,1989,Driving Miss Daisy and Glory,1980,2005,2016,2010
Oprah Winfrey,F,1954,70,1985,The Color Purple,1980,1987,2016,2010
Paul McCartney,M,1942,82,1963,I Want to Hold Your Hand,1960,1965,2016,2010
Paul Newman,M,1925,99,1958,Cat on a Hot Tin Roof,1950,1986,2005,2000
Peter O'Toole,M,1932,92,1962,Lawrence of Arabia,1960,2002,2013,2010
Prince,M,1958,66,1979,Prince,1970,1984,2016,2010
Robert Redford,M,1936,88,1969,Butch Cassidy and the Sundance Kid,1960,1980,2016,2010
Sidney Poitier,M,1927,97,1955,Blackboard Jungle,1950,1964,2008,2000
Sly Stone,M,1943,81,1968,Everyday People,1960,2017,1971,1970
Stevie Wonder,M,1950,74,1963,Fingertips,1960,1973,2005,2000
Tom Hanks,M,1956,68,1984,Splash,1980,1993,2016,2010
Tony Bennett,M,1926,98,1951,Because of You,1950,1963,2016,2010
Wayne Newton,M,1942,82,1972,"Daddy, Don't You Walk So Fast",1970,0,2016,2010
Will Smith,M,1968,56,1990,The Fresh Prince of Bel-Air,1990,1988,2016,2010
Willie Nelson,M,1933,91,1975,Red Headed Stranger,1970,1976,2016,2010
